,n_estimators,min_samples_split,min_samples_leaf,max_depth,test_acc,test_sens,test_spec,test_f1
mod0,920,2,1,20,0.9178258586269991,0.8731426262978135,0.9456346729368377,0.8904781752187236
mod1,600,2,8,28,0.876142613385664,0.7908371893767355,0.929075021910983,0.8301515655228247
mod2,600,5,1,22,0.9143977561996094,0.86671999414157,0.9440016552472505,0.8856688064260506
mod3,360,2,8,28,0.8765400918872052,0.7904576876715875,0.929964057554067,0.8305380817592809
mod4,840,2,1,10,0.8704789057461901,0.7567766840074304,0.940990133364247,0.81722301131
mod5,600,2,8,26,0.8760929239446702,0.7904875679897956,0.9292444739569415,0.8300391893297855
mod6,840,5,8,26,0.8759438062531434,0.7911546838345098,0.9285875108530591,0.830007100980018
mod7,360,5,4,14,0.8784279697494238,0.794371679005063,0.930597547752415,0.8333966118868721
mod8,680,2,4,12,0.8723668082926815,0.774671069346678,0.9330068804728319,0.8228951324310353
mod9,920,10,1,20,0.9035671489356449,0.8470676463826216,0.9386715648759255,0.8705316877157754
mod10,840,10,2,12,0.8757948490093893,0.7814438645257313,0.9343731371129718,0.828094604654409
mod11,360,10,2,22,0.8974561129058636,0.840571952670046,0.9327960816104316,0.8625239451173516
mod12,680,10,8,18,0.8755960789032777,0.7886781331423338,0.9295653418628309,0.8291536117865397
mod13,280,10,8,14,0.871919455218101,0.7764248102934868,0.9311470775011312,0.8227034940284618
mod14,280,2,16,22,0.8651627279824001,0.7616700620874858,0.9293809698336378,0.8121966448839204
mod15,280,2,4,22,0.88657576683236,0.818750337762653,0.9286625533617178,0.8467694325702787
mod16,520,2,4,14,0.8787756847571531,0.7963090873800496,0.9299334543214606,0.8341391851342388
mod17,680,2,32,16,0.8485690341969743,0.7161919157715009,0.9306826301707967,0.7835338615944767
mod18,680,2,1,26,0.9262221275991767,0.88674225128547,0.9507712163212954,0.901926368045093
mod19,600,2,4,18,0.8835452046171932,0.8102895768841935,0.9289713934399018,0.8419278997830745
mod20,920,10,8,10,0.8586048202213563,0.7271209870272465,0.9401871260994765,0.7974230344179593
mod21,440,5,16,16,0.8640199078659521,0.7582389227912633,0.9296842816228661,0.8102450130282145
mod22,280,10,1,14,0.8869236299457255,0.8117131750480413,0.9335605057988143,0.8460282070186436
mod23,360,5,2,24,0.9028217085836474,0.8505848466679684,0.935269837428228,0.8701439386506131
mod24,840,10,8,16,0.8744036433986541,0.7843613720591018,0.9302741468387126,0.8270132955312075
mod25,280,2,4,28,0.8880165878312706,0.8225058917619702,0.9286688584673435,0.8489976150278755
mod26,200,10,1,10,0.8673987158007115,0.7482875780410038,0.941287160725877,0.8120426942377167
mod27,760,2,2,12,0.8777820810693229,0.786013728471219,0.9347851464540626,0.8312063566021838
mod28,840,2,4,16,0.8814586060174084,0.8056215900696223,0.9285046630697344,0.8387635989395822
mod29,840,10,4,16,0.8816573020707018,0.8052232760569629,0.9290630376142804,0.8389254574489872
mod30,840,10,32,16,0.8482211834257452,0.7170576092523212,0.9295517046837636,0.7833493207002219
mod31,360,10,4,20,0.8851847216693974,0.8149752351441594,0.9287475622686262,0.8445644605759852
mod32,1000,2,4,12,0.8731119400912701,0.7752305910565802,0.9338909768928978,0.8238850141167408
mod33,440,10,4,14,0.8791731015480124,0.7953928865647664,0.9311456340447111,0.8344258685029612
mod34,200,10,4,24,0.8863273566538,0.8183630179802523,0.9285090637021479,0.8464102951002456
mod35,760,2,1,18,0.9114168093726184,0.862119547672048,0.9420736141776235,0.8816345070036959
mod36,600,5,2,18,0.8962141360658823,0.8356512361173009,0.93384396163011,0.8603969880334734
mod37,200,2,16,12,0.8584555791084657,0.7403782546070776,0.931695055425125,0.8001802674684848
mod38,600,2,4,26,0.8872713943220003,0.8215812358824781,0.928032297850927,0.8479885632743903
mod39,1000,10,2,20,0.8947733027248352,0.8339280477652803,0.9325548367336067,0.858465491145813
mod40,680,10,2,10,0.8655108626227657,0.745766396306876,0.9398644114301792,0.8093757535601076
mod41,1000,10,2,14,0.8834954534655175,0.8053789653578514,0.931947841823001,0.8410669447497396
mod42,280,10,32,20,0.8483207597819146,0.7211834531689576,0.9271470452335511,0.7844083513278761
mod43,200,10,2,24,0.8975555164721237,0.8408231725256929,0.9327801172322602,0.8626872646829369
mod44,760,2,1,22,0.9218501109249505,0.8794734085762632,0.9482017790899271,0.8959449291611747
mod45,840,5,2,18,0.896065067742901,0.8341905759252135,0.9344703680975442,0.8600144780603884
mod46,200,5,4,24,0.8869732576760374,0.8200535480515491,0.9285127436022427,0.8474183751945018
mod47,440,2,1,28,0.9272158670505071,0.8902370002477511,0.9501963758397498,0.9034721352842909
mod48,760,5,2,10,0.8675478458343747,0.7506240227690976,0.9401111744794978,0.8126726831656741
mod49,760,5,16,14,0.8615854461528019,0.7506247040678696,0.9304958018961693,0.8059392970011355
mod50,280,5,16,28,0.8650136473172825,0.7639234875735116,0.9277916321067426,0.8124785247051781
mod51,680,5,2,14,0.885780896224232,0.8100155651979681,0.9327644011966157,0.8444346999854305
mod52,1000,10,1,16,0.8938790532347196,0.8274485754740641,0.9351086765972598,0.8565017140692077
mod53,280,2,8,26,0.8765400548607962,0.7903002348923708,0.9300174988441313,0.8305095187369538
mod54,280,2,8,16,0.8734597168096812,0.7840266862770757,0.9289954995706452,0.8259004067065053
mod55,360,10,1,26,0.9106717022583025,0.8607535178657196,0.9416529374918079,0.880573765465466
mod56,200,5,1,10,0.8692370399854363,0.757912562886001,0.9383345168524446,0.8160986564592483
mod57,920,10,1,16,0.8937299972538746,0.8267391647973902,0.9352671851242172,0.8561948326468947
mod58,920,5,4,22,0.8862777165813517,0.8188562895347014,0.9281087921238497,0.8464194363605063
mod59,680,5,2,26,0.9034677206851119,0.8519338020279201,0.9354389451335405,0.8710402644378327
mod60,1000,10,8,26,0.8761922534581125,0.7904569873914754,0.929396000622061,0.8301364369535674
mod61,840,5,4,18,0.8840420743428583,0.8104090290482802,0.9297102474392813,0.8425070069932457
mod62,440,2,1,10,0.8704290558574236,0.7587086510538782,0.9397896281919434,0.8175792898077802
mod63,760,5,8,24,0.87604322216154,0.7906178321706143,0.9290682491061741,0.8300222141590818
mod64,520,2,8,18,0.8749501038282222,0.7878470394574996,0.9289856397320795,0.8282609160074731
mod65,760,5,32,20,0.8481715927218421,0.7182401477416915,0.9287628655090895,0.7835785455719063
mod66,440,2,8,16,0.8741055067526915,0.7841226635161453,0.9299378573907608,0.8266524863946803
mod67,440,2,16,26,0.8653117345946997,0.7624637528863121,0.9291424064298601,0.8125224264563071
mod68,520,5,4,26,0.8877185869488079,0.8217234604233539,0.9286668306355942,0.8485398757160398
mod69,760,5,8,12,0.8672991271024058,0.7619627329195526,0.9326968817604513,0.8146856551984027
mod70,760,10,8,26,0.8760431974772673,0.7905884232035996,0.9290829081935327,0.8299885958356585
mod71,520,5,2,18,0.8964624104809422,0.8360321689316537,0.9339872285029973,0.8607497209764225
mod72,200,2,4,12,0.8721182253242125,0.7723486382143709,0.9340572299195617,0.8221882091267597
mod73,760,2,1,26,0.9258247108083173,0.8865871736849211,0.9502112482296419,0.9014204214276408
mod74,1000,2,8,28,0.8759934710098645,0.7903514709390673,0.9291482873673059,0.8299119123706327
mod75,920,10,32,22,0.8480721151027637,0.7159015771068529,0.9300341675220984,0.7829212231490125
mod76,840,5,2,16,0.8920904678595342,0.8252040342695809,0.9335754932393995,0.8540767833742116
mod77,360,10,2,12,0.8758941538385587,0.7805949626032135,0.9350923595705984,0.8280959958883691
mod78,680,10,32,24,0.8492148488242572,0.7194061085328641,0.9297348548669138,0.7850114294036284
mod79,520,10,32,18,0.8482710826830571,0.7175365992444381,0.9293227252324409,0.7834797934695734
mod80,280,10,8,28,0.8764903160512569,0.7898254077344445,0.9302902345754213,0.8303724249877256
mod81,280,2,16,16,0.8640199325502247,0.758163760264547,0.9297743012724832,0.8102522222429339
mod82,840,10,4,10,0.8630267114686216,0.7396256918717427,0.9396353069948663,0.8052171319497967
mod83,840,5,32,28,0.8482212574785633,0.717715477897389,0.9291436116602151,0.783514501603104
mod84,520,5,1,24,0.9166334601487843,0.869452082463682,0.9459205578388996,0.8886434304983106
mod85,1000,10,4,10,0.8639208128531009,0.7429105225662213,0.9389646617412115,0.8068840524364369
mod86,280,5,16,24,0.8660569651303792,0.7640710899413878,0.9293875842399156,0.8137102241129185
mod87,680,5,1,22,0.9144473839299213,0.8659633339938848,0.9445583509913014,0.8856542709294404
mod88,360,2,1,24,0.9245826845997908,0.8837195561119572,0.9499749717448719,0.8996398170542268
mod89,360,10,32,14,0.8469295541711792,0.7108794761056044,0.9312466397471477,0.7803619671879998
mod90,760,2,1,24,0.9249801137327864,0.8846289023732397,0.9500494774715434,0.9002075446002065
mod91,840,2,4,18,0.8837439623811685,0.8122499339673969,0.9280983620887563,0.8424811765806217
mod92,440,2,16,22,0.8661066422292366,0.7651134495754526,0.9287961086781087,0.8140001041125619
mod93,280,10,4,10,0.8641694451901152,0.7422325549690789,0.9398593763922072,0.807094102365738
mod94,440,10,32,14,0.8477243260422164,0.7112048789988326,0.9323639803390641,0.7814039916961718
mod95,1000,2,8,20,0.8751985757174638,0.7891409377446442,0.928587964190276,0.8287648888515033
mod96,920,2,8,12,0.8673984689579843,0.761709218645372,0.9330165969031017,0.8147428433593709
mod97,920,5,32,28,0.8481715063268878,0.717306083411765,0.9292969885228134,0.7833596216209983
mod98,840,10,4,24,0.8864267972464693,0.8187332884437826,0.9284182107064056,0.8465874586461932
mod99,1000,10,1,10,0.867050889713755,0.7488112227054546,0.9404195762107002,0.811735661806052
